NO,SCT_Ship_No,PO_No,AWB_No,Vendor,Item,From,To,Ship_Mode,ETA,ATA,Status,Final_Site,Flow_Code,Flow_Desc,Compliance,Customs_Start,Customs_Close,WH_Date,MOSB_Date,Delivery_Date,Weight_KG,CBM,Delay_Days,Remark
99,HVDC-ADOPT-HE-0040,4572116646,GOT36800092-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-26,10008.0,44.88,0,
100,HVDC-ADOPT-HE-0041,4572116646,GOT36800092-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-24,4230.0,37.2,0,
101,HVDC-ADOPT-HE-0034,4572116646,GOT36800050-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-03-18,45369.0,,2024-05-08,2024-03-21,315.0,1.4,0,
102,HVDC-ADOPT-HE-0037,4572116646,GOT36800050-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-03-18,45369.0,,,2024-03-21,256.0,1.1,0,
103,HVDC-ADOPT-HE-0033,4572116646,GOT36800050-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-03-18,45369.0,,2024-05-08,2024-03-21,2260.0,15.1,0,
104,HVDC-ADOPT-HE-0035,4572116646,GOT36800050-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-03-18,45369.0,,2024-05-14,2024-03-21,10008.0,44.88,0,
105,HVDC-ADOPT-HE-0036,4572116646,GOT36800050-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-03-18,45369.0,,,2024-03-21,5250.0,51.3,0,
106,HVDC-ADOPT-HE-0085,4572116646,GOT37000006,Hitachi,Main Converter,Itaguai,Mina Zayed,B,2024-04-12,2024-04-12,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-04-04,45386.0,,2024-04-26,2024-04-19,543257.0,713.951,0,
107,HVDC-ADOPT-HE-0088,4572116646,GOT37000005,Hitachi,Main Converter,Norrkoping,Mina Zayed,B,2024-04-20,2024-04-20,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-04-12,45394.0,,,2024-04-21,412188.0,798.913146,0,
108,HVDC-ADOPT-HE-0089,4572116646,GOT37000005,Hitachi,Main Converter,Norrkoping,Mina Zayed,B,2024-04-20,2024-04-20,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-04-12,45394.0,,2024-04-26,2024-04-26,4024.0,41.71553,0,
109,HVDC-ADOPT-HE-0087,4572116646,GOT36800073-001,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-04-15,2024-04-15,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-04-18,45400.0,,2024-05-20,2024-04-20,3420.0,11.88792,0,
110,HVDC-ADOPT-HE-0090,4572116646,GOT36800073-001,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-04-15,2024-04-15,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-04-18,45400.0,,,2024-04-20,1100.0,3.96264,0,
111,HVDC-ADOPT-HE-0091,4572116646,GOT36800073-002,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-04-15,2024-04-15,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-04-18,45400.0,,,2024-04-20,570.0,1.98132,0,
112,HVDC-ADOPT-HE-0092,4572116646,GOT36800073-002,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-04-15,2024-04-15,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-04-18,45400.0,,,2024-04-20,750.0,1.98132,0,
113,HVDC-ADOPT-HE-0103,4572116646,GOT36800074-001,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-05-04,2024-05-04,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-06,2200.0,7.92528,0,
114,HVDC-ADOPT-HE-0104,4572116646,GOT36800074-001,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-05-04,2024-05-04,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,2024-06-06,2024-06-06,4110.0,20.51328,0,
115,HVDC-ADOPT-HE-0105,4572116646,GOT36800074-002,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-05-04,2024-05-04,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,2024-06-06,2024-06-06,685.0,3.41888,0,
116,HVDC-ADOPT-HE-0106,4572116646,GOT36800100-001,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-05-04,2024-05-04,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,2024-06-10,2024-06-10,4110.0,20.51328,0,
117,HVDC-ADOPT-HE-0107,4572116646,GOT36800100-002,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-05-04,2024-05-04,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,2024-06-10,2024-06-10,685.0,3.41888,0,
118,HVDC-ADOPT-HE-0101,4572116646,GOT36800096,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-05-04,2024-05-04,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-05-09,45421.0,,,2024-05-11,3920.0,25.794,0,
119,HVDC-ADOPT-HE-0102,4572116646,GOT36800097,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-05-04,2024-05-04,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-05-09,45421.0,,2025-05-20,2024-05-11,2748.0,18.076,0,
120,HVDC-ADOPT-HE-0108,4572116646,GOT36800077-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-04-15,2024-04-15,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-04-18,45400.0,,2025-05-26,2024-05-01,40740.0,323.9,0,
121,HVDC-ADOPT-HE-0109,4572116646,GOT36800077-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-04-15,2024-04-15,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-04-18,45400.0,,2025-05-26,2024-04-22,4670.0,37.1,0,
122,HVDC-ADOPT-PPL-0014,5000675246,237468392,Prysmian,320kV HVDC Cable System,Hamburg,Khalifa port,C,2024-05-06,2024-05-06,Arrived,Unknown,4,Port → WH → MOSB → Site,PASS,2024-05-07,45419.0,,,2024-05-08,8045.0,21.548,0,
123,HVDC-ADOPT-HE-0110,4572116646,GOT37000008,Hitachi,Main Converter,Itaguai,Mina Zayed,B,2024-05-09,2024-05-09,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-05-10,546212.0,736.032,0,
124,HVDC-ADOPT-HE-0116,4572116646,GOT37000007,Hitachi,Main Converter,Uddelvalla,Mugharraq,B,2024-05-23,2024-05-23,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-05-23,45435.0,,,2024-05-23,926998.0,1436.98,0,
125,HVDC-ADOPT-HE-0093,4572116646,GOT36800098-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-05-07,45419.0,,,2024-05-10,7306.0,41.88,0,
126,HVDC-ADOPT-HE-0094,4572116646,GOT36800098-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-05-07,45419.0,,,2024-05-10,889.0,5.93,0,
127,HVDC-ADOPT-HE-0095,4572116646,GOT36800078-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-15,3338.0,18.6,0,
128,HVDC-ADOPT-HE-0096,4572116646,GOT36800078-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-15,447.0,3.2,0,
129,HVDC-ADOPT-HE-0097,4572116646,GOT36800099-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-12,1624.0,18.6,0,
130,HVDC-ADOPT-HE-0098,4572116646,GOT36800099-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-12,517.0,2.791,0,
131,HVDC-ADOPT-HE-0115,4572116646,GOT36800104,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-12,5204.0,56.88,0,
132,HVDC-ADOPT-HE-0117,4572116646,GOT36800105,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-15,118.0,0.218,0,
133,HVDC-ADOPT-HE-0120,4572116646,GOT36800106-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-12,3840.0,5.93,0,
134,HVDC-ADOPT-HE-0121,4572116646,GOT36800106-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-12,789.0,6.58,0,
135,HVDC-ADOPT-HE-0123,4572116646,GOT36800086-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-15,609.0,4.8,0,
136,HVDC-ADOPT-HE-0122,4572116646,GOT36800086-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-15,8468.0,54.198,0,
137,HVDC-ADOPT-HE-0124,4572116646,GOT36800086-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-05-04,2024-05-04,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-05-08,45420.0,,,2024-06-15,185.0,1.16,0,
138,HVDC-ADOPT-HE-0099,4572116646,GOT36800079-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-06-07,2024-06-07,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-06-11,45454.0,,,2024-06-14,2760.0,38.9025,0,
139,HVDC-ADOPT-HE-0100,4572116646,GOT36800079-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-06-07,2024-06-07,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-06-11,45454.0,,,2024-06-14,1375.0,19.62675,0,
140,HVDC-ADOPT-HE-0114,4572116646,GOT36800103,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-06-07,2024-06-07,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-06-11,45454.0,,,2024-06-14,13108.0,139.81,0,
141,HVDC-ADOPT-HE-0118,4572116646,GOT36800087-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-06-07,2024-06-07,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-06-11,45454.0,,2025-06-13,2024-06-13,9910.0,13.565334,0,
142,HVDC-ADOPT-HE-0119,4572116646,GOT36800087-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-06-07,2024-06-07,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-06-11,45454.0,,2025-06-13,2024-06-13,2105.0,20.939,0,
143,HVDC-ADOPT-HE-0111,4572116646,GOT36800101,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-09,2024-06-09,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-06-11,45454.0,,,2024-06-28,76822.0,952.06653,0,
144,HVDC-ADOPT-HE-0112,4572116646,GOT36800102,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-09,2024-06-09,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-06-11,45454.0,,,2024-06-13,16234.0,231.432936,0,
145,HVDC-ADOPT-HE-0125,4572116646,GOT36800108-001,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-09,2024-06-09,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-06-11,45454.0,,,2024-06-25,34920.0,256.770764,0,
146,HVDC-ADOPT-HE-0126,4572116646,GOT36800108-002,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-09,2024-06-09,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-06-11,45454.0,,,2024-06-25,5070.0,37.195715,0,
147,HVDC-ADOPT-SIM-0002,SCT-19LT-PRC-PO-004,STRA59754,Siemens,400kV and 132kV New Converter GIS,Hamburg,Khalifa port,C,2024-06-10,2024-06-10,Arrived,SHU/MIR,4,Port → WH → MOSB → Site,PASS,2024-06-14,45457.0,,,2024-06-24,6725.0,34.56,0,
148,HVDC-ADOPT-HE-0113,4572116646,GOT36800107,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-18,2024-06-18,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-06-20,45463.0,,,2024-07-03,49920.0,625.65696,0,
149,HVDC-ADOPT-HE-0145,4572116646,GOT36800111,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-18,2024-06-18,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-06-21,45464.0,,,2024-07-12,58101.0,474.451249,0,
150,HVDC-ADOPT-HE-0142,4572116646,GOT36800109,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-18,2024-06-18,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-06-21,45464.0,,,2024-06-29,150000.0,438.8322555,0,
151,HVDC-ADOPT-HE-0146,4572116646,GOT36800112,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-18,2024-06-18,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-06-20,45463.0,,,2024-06-24,360000.0,1053.21677,0,
152,HVDC-ADOPT-SEI-0003,5000684244,KKLUCVK1000766,Sumitomo,400kV HVDC Cable System,Kobe,Khalifa port,B,2024-06-20,2024-06-20,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-06-22,45465.0,,,2024-06-28,160605.0,270.719,0,
153,HVDC-ADOPT-HE-0128,4572116646,GOT36800118-002,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-25,2024-06-25,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-06-25,45468.0,,2025-06-10,2024-07-03,2925.0,21.999907,0,
154,HVDC-ADOPT-HE-0127-1,4572116646,GOT36800118-001,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-25,2024-06-25,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-06-25,45468.0,,2025-06-10,2024-07-04,38750.0,285.30972,0,
155,HVDC-ADOPT-HE-0153-1,4572116646,GOT36800117,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-25,2024-06-25,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-06-25,45469.0,,,2024-07-01,90000.0,263.30432,0,
156,HVDC-ADOPT-HE-0154-1,4572116646,GOT36800114,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-06-25,2024-06-25,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-06-25,45468.0,,,2024-07-16,40905.0,427.959,0,
157,HVDC-ADOPT-HE-0155,4572116646,GOT36800125,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-07-03,2024-07-03,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-07-05,45478.0,,,2024-07-15,315000.0,921.564,0,
158,HVDC-ADOPT-HE-0156,4572116646,GOT36800126,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-07-03,2024-07-03,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-07-05,45478.0,,,2027-07-23,19068.0,53.297,0,
159,HVDC-ADOPT-HE-0157,4572116646,GOT36800127,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-07-03,2024-07-03,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-07-05,45478.0,,,2024-07-10,3912.0,18.576,0,
160,HVDC-ADOPT-HE-0158,4572116646,GOT36800120-001,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-07-03,2024-07-03,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-07-06,45479.0,,2025-06-10,2024-07-11,4160.0,31.3,0,
161,HVDC-ADOPT-HE-0159,4572116646,GOT36800120-002,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-07-03,2024-07-03,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-07-06,45479.0,,2025-06-10,2024-07-11,1930.0,14.0,0,
162,HVDC-ADOPT-HE-0153-2,4572116646,GOT36800147,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-07-03,2024-07-03,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-07-05,45478.0,,,2024-07-09,165000.0,482.724,0,
163,HVDC-ADOPT-HE-0154-2,4572116646,GOT36800146,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-07-03,2024-07-03,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-07-06,45479.0,,,2024-07-17,10310.0,120.54,0,
164,HVDC-ADOPT-HE-0127-2,4572116646,GOT36800148,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-07-03,2024-07-03,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-07-05,45478.0,,2025-06-10,2024-07-08,10370.0,75.765,0,
165,HVDC-ADOPT-SCT-0003,5000761114,290-700-2405-015,Dong Yang,Cathodic Protection,Busan Port,Khalifa port,C,2024-07-04,2024-07-04,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-07-04,45477.0,,2024-07-09,2024-07-09,4105.0,16.982,0,
166,HVDC-ADOPT-HE-0143,4572116646,GOT37000110,Hitachi,Main Converter,Uddelvalla,Mugharraq,B,2024-07-21,2024-07-21,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-07-17,45490.0,,,2024-07-21,684952.0,993.8206,0,
167,HVDC-ADOPT-HE-0144,4572116646,GOT37000110,Hitachi,Main Converter,Uddelvalla,Mugharraq,B,2024-07-21,2024-07-21,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-07-17,45490.0,,,2025-01-16,6071.0,62.8269,0,
168,HVDC-ADOPT-SCT-0004,5000734812,KUL00001329,Excellift,Crane and Hoist,Port Klang,Khalifa port,C,2024-07-19,2024-07-19,Arrived,SHU/AGI,4,Port → WH → MOSB → Site,PASS,2024-07-23,45496.0,,,2024-07-30,7122.0,27.473,0,
169,HVDC-ADOPT-SCT-0005,5000789074,290-700-2405-188,TaeHwa,Cable Tray System,Busan Port,Khalifa port,C,2024-07-18,2024-07-18,Arrived,DAS/AGI,4,Port → WH → MOSB → Site,PASS,2024-07-19,45492.0,,2024-08-26,2024-08-26,85147.0,392.111,0,
170,HVDC-ADOPT-HE-0160,4572116646,GOT36800128,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-07-11,2024-07-11,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-07-12,45485.0,,,2024-07-17,195000.0,570.482,0,
171,HVDC-ADOPT-HE-0162,4572116646,GOT36800130,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-07-17,2024-07-17,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-07-19,45492.0,,,2024-07-27,255000.0,746.02774,0,
172,HVDC-ADOPT-HE-0163,4572116646,GOT36800131,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-07-17,2024-07-17,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-07-19,45492.0,,,2024-07-27,26538.0,281.41253,0,
173,HVDC-ADOPT-SEI-0005,5000684244,290-700-2405-180,Sumitomo,400kV HVDC Cable System,Rognan,Mina Zayed,B,2024-07-15,2024-07-15,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-07-12,45485.0,,,2024-07-25,496254.0,575.348,0,
174,HVDC-ADOPT-HE-0135,4572116646,GOT36800143-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-07-11,2024-07-11,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-07-12,45485.0,,,2024-07-28,668.0,2.1,0,
175,HVDC-ADOPT-HE-0134,4572116646,GOT36800143-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-07-11,2024-07-11,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-07-12,45485.0,,,2024-07-28,1268.0,3.8,0,
176,HVDC-ADOPT-HE-0138,4572116646,GOT36800145-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-07-11,2024-07-11,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-07-12,45485.0,,,2024-07-31,1206.0,2.3,0,
177,HVDC-ADOPT-HE-0139,4572116646,GOT36800145-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-07-11,2024-07-11,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-07-12,45485.0,,,2024-07-31,500.0,1.3,0,
178,HVDC-ADOPT-HE-0136,4572116646,GOT36800144-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-07-11,2024-07-11,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-07-12,45485.0,,,2024-07-23,653.0,1.114,0,
179,HVDC-ADOPT-HE-0137,4572116646,GOT36800144-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-07-11,2024-07-11,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-07-12,45485.0,,,2024-07-23,190.0,0.488,0,
180,HVDC-ADOPT-SCT-0007,5000734812,KUL00001327,Excellift,Crane and Hoist,Port Klang,Khalifa port,C,2024-07-19,2024-07-19,Arrived,MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-07-23,45496.0,,2024-07-30,2024-07-30,9192.0,32.506,0,
181,HVDC-ADOPT-SCT-0008,5000734812,KUL00001351,Excellift,Crane and Hoist,Port Klang,Khalifa port,C,2024-07-25,2024-07-25,Arrived,MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-07-26,45499.0,,,2024-07-30,9300.0,38.779,0,
182,HVDC-ADOPT-SEI-0004-1,5000684244,290-700-2406-092-1,Sumitomo,400kV HVDC Cable System,Hitachi,Mina Zayed,B,2024-07-10,2024-07-10,Arrived,Unknown,4,Port → WH → MOSB → Site,PASS,2024-07-07,45480.0,,,2024-08-13,5475234.0,4479.9,0,
183,HVDC-ADOPT-SEI-0004-2,5000684244,290-700-2406-092-2,Sumitomo,400kV HVDC Cable System,Hitachi,Mina Zayed,B,2024-07-10,2024-07-10,Arrived,Unknown,4,Port → WH → MOSB → Site,PASS,2024-07-07,45480.0,,,2024-08-13,88155.2,347.3,0,
184,HVDC-ADOPT-HE-0161,4572116646,GOT37000016,Hitachi,Main Converter,Itaguai,Mina Zayed,B,2024-07-30,2024-07-30,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-07-23,45496.0,,,2024-09-08,822875.0,1136.199,0,
185,HVDC-ADOPT-HE-0130,4572116646,GOT36800110-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-07-23,2024-07-23,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-07-24,45497.0,,,2024-07-27,1515.0,17.08,0,
186,HVDC-ADOPT-HE-0131,4572116646,GOT36800110-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-07-23,2024-07-23,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-07-24,45497.0,,,2024-07-27,1515.0,17.08,0,
187,HVDC-ADOPT-HE-0132,4572116646,GOT36800113-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-07-23,2024-07-23,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-07-24,45497.0,,2025-06-10,2024-07-27,4030.0,48.8,0,
188,HVDC-ADOPT-HE-0133,4572116646,GOT36800113-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-07-23,2024-07-23,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-07-24,45497.0,,2025-06-10,2024-07-27,2015.0,24.4,0,
189,HVDC-ADOPT-SCT-0006,5000789074,290-700-2406-028,TaeHwa,Cable Tray System,Busan Port,Khalifa port,C,2024-07-30,2024-07-30,Arrived,SHU/MIR,4,Port → WH → MOSB → Site,PASS,2024-07-30,45503.0,,,2024-08-12,84803.0,369.364,0,
190,HVDC-ADOPT-SEI-0007,5000684244,607-3400-0002,Sumitomo,400kV HVDC Cable System,Osaka,Abu Dhabi Airport,A,2024-07-31,2024-07-31,Arrived,Unknown,4,Port → WH → MOSB → Site,PASS,2024-08-01,45505.0,,,2024-08-03,42.0,0.27,0,
191,HVDC-ADOPT-HE-0151,4572116646,GOT36800122-002,Hitachi,Main Converter,Venezia,Khalifa port,C,2024-08-04,2024-08-04,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-08-05,45509.0,,,2024-08-22,336.0,1.7,0,
192,HVDC-ADOPT-HE-0149,4572116646,GOT36800122-001,Hitachi,Main Converter,Venezia,Khalifa port,C,2024-08-04,2024-08-04,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-08-05,45509.0,,,2024-08-22,7625.0,25.8,0,
193,HVDC-ADOPT-HE-0150,4572116646,GOT36800123-001,Hitachi,Main Converter,Venezia,Khalifa port,C,2024-08-04,2024-08-04,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-08-05,45509.0,,,2024-08-06,1437.0,7.6,0,
194,HVDC-ADOPT-HE-0152,4572116646,GOT36800123-002,Hitachi,Main Converter,Venezia,Khalifa port,C,2024-08-04,2024-08-04,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-08-05,45509.0,,,2024-08-09,230.0,1.1,0,
195,HVDC-ADOPT-HE-0148,4572116646,GOT36800121-002,Hitachi,Main Converter,Venezia,Khalifa port,C,2024-08-04,2024-08-04,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-08-05,45509.0,,2025-06-10,2024-08-07,1032.0,4.73,0,
196,HVDC-ADOPT-HE-0147,4572116646,GOT36800121-001,Hitachi,Main Converter,Venezia,Khalifa port,C,2024-08-04,2024-08-04,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-08-05,45509.0,,2025-06-10,2024-08-07,14307.0,45.9,0,
